Language;Flag file;Right Panel Title;SaveSubtitleLoad;SaveSubtitleStart;SaveButtonLoad;SaveButtonStart;EmptyDropdown;ConfigVersion;ConfigDrive;ConfigColor;ConfigUpholstery;ConfigPackets;ConfigName;ConfigButtonReturn;ConfigButtonSave;configMomentumText;configInscriptionText;configRDesignText;YesNoPopUp (Yes);YesNoPopUp (No);YesNoPopUp #1[ReturnPopUp];OkPopUp (OK);OkPopUp #1[NoSaves];testDriveHeader;testDriveBookSubtitle;testDriveDateText;testDriveTimeText;testDriveLoadButton;testDriveBookedSubtitle;testDriveRefreshButton;photoGaleryHeader;videoPlayerHeader
Polish;pl.png;Konfiguracja;Zapisane konfiguracje;Skonfiguruj swoje XC 40;Wczytaj;Rozpocznij;Brak zapisów;Wybierz wersję;Napęd;Kolor;Tapicerka;Pakiety;Nazwa konfiguracji;Powrót;Zapisz;Komfort będący znakiem rozpoznawczym inspirującego miejskiego SUV-a. Kontrastujące detale zewnętrzne i wnętrze z tapicerką tekstylną klasy premium.;Najbardziej wyrafinowany model XC40. Chromowane detale zewnętrzne, unikatowe felgi i ekskluzywne skórzane siedzenia tworzą absolutny skandynawski luksus.;Stworzony do aktywnej jazdy. Z czarnymi błyszczącymi detalami, unikatowymi felgami i stylowo wykończonym wnętrzem.;Tak;Nie;Wyjście spowoduje utracenie niezapisanej konfiguracji.##Czy chcesz kontynuować?;Ok;Brak zapisanych konfiguracji!;Jazda testowa;Umów się na jazdę próbną;Data;Godzina;Wyślij;Zajęte terminy;Odśwież;Galeria zdjęć;Filmy
English;en.png;Configuration;Saved configurations;Configure yours XC 40;Load;Start;No saves;Choose version;Drive;Color;Upholstery;Packets;Configuration name;Return;Save;Comfort as the hallmark of an inspiring urban SUV. Contrasting exterior details and interior with premium textile upholstery.;The most sophisticated XC40. Chrome exterior details, unique rims and exclusive leather seats create absolute Scandinavian luxury.;Made for active driving. With shiny black details, unique rims and a stylishly finished interior.;Yes;No;Exiting will lose the unsaved configuration.##Do you want to continue?;Ok;No saved configurations!;Test drive;Arrange a test drive;Date;Time;Send;Booked terms;Refresh;Photo galery;Videos
